Course Number,Course Name,Credit Hour,Active
5857,USER INTERFACE PROGRAMMING,3,TRUE
5900,INDEPENDENT STUDY,3,TRUE
5905,INTERNSHIP,3,TRUE
5910,SOFTWARE DEVELOPMENT PROJECT 1,3,TRUE
5920,SOFTWARE DEVELOPMENT PROJECT 2,3,TRUE
5927,HUMAN COMPUTER INTERACTION,3,TRUE
5930,SOFTWARE DEVELOPMENT PROJECT 3,3,TRUE
5957,SPECIAL TOPICS IN COMPUTER SCIENCE,3,TRUE
5960,THESIS IN COMPUTER AND INFORMATION SCIENCES,3,TRUE
5967,Sp TOP COMP SCI,3,TRUE
5989,INTERNSHIP/COOPERATIVE EDUCATION,3,TRUE
5990,READINGS AND RESEARCH,3,TRUE
5999,INTERNSHIP/COOPERATIVE EDUCATION,3,TRUE
